1,429948,4581385
2,431582,4580937
3,432524,4583069
4,432650,4582536
5,432645,4582410
6,428085,4582825
7,429247,4580521
8,431601,4582951
9,431314,4580934
10,430096,4581212
11,432591,4582817
12,430549,4581247
13,430613,4581238
14,429117,4580599
15,432747,4581728
16,428923,4583515
17,431231,4581054
18,429253,4580639
19,431752,4580940
20,431022,4581152
21,429556,4581443
22,429224,4581163
23,428905,4583489
24,430299,4581230
25,432720,4581736
26,429507,4581420
27,429697,4583213
28,432377,4583070
29,429507,4581544
30,432000,4583068
31,432257,4583071
32,430531,4582923
33,430907,4581125
34,431051,4582877
35,431247,4582817
36,430767,4582859
37,428019,4582293
38,430624,4582920
39,432643,4581867
40,427922,4581341
41,428306,4581311
42,431454,4582740
43,428436,4581184
44,430081,4583033
45,428477,4581097
46,428737,4580975
47,428821,4580840
48,428900,4580598
49,428861,4580715
50,427905,4581896
51,428008,4582510
52,427799,4581715
53,427799,4581725
54,428359,4582950
55,428233,4582939
56,429307,4583395
57,429980,4583093
58,429574,4583370
59,429258,4583487
60,429125,4583528
61,432644,4582141
62,428672,4583176
63,429441,4581376
64,432246,4581306
65,431975,4581045
66,432105,4581171
67,431846,4580929
68,432117,4581176
69,432392,4581450
70,432656,4581453
71,432780,4581603
72,431719,4583069
73,431160,4582934
74,431449,4580936
75,431717,4580955
76,432649,4582953
77,432649,4582279
78,432643,4582009
79,430377,4582940
80,431203,4582934
81,431131,4581106
82,432720,4581703
83,430072,4581240
84,432747,4581715
85,432627,4582694
86,432654,4582670
87,431238,4581045
88,431738,4580957
89,430403,4581200
90,429333,4581283
91,429646,4581508
92,429766,4581611
93,429828,4581541
94,429380,4581307
95,429708,4583207
96,428780,4580935
97,428789,4580935
98,429260,4580653
99,431875,4583072
100,430994,4581169
101,432129,4583070
102,432395,4583069
103,430902,4582866
104,431386,4582805
105,431601,4582818
106,430577,4582920
107,430484,4582928
108,430294,4583013
109,430174,4583022
110,428030,4582413
111,428008,4582174
112,427988,4582042
113,427950,4581964
114,432659,4581844
115,431318,4582800
116,428296,4581329
117,431585,4582741
118,428392,4581270
119,430095,4583028
120,428514,4581058
121,428616,4581046
122,429099,4580613
123,428839,4580786
124,428882,4580657
125,430350,4583008
126,427910,4581901
127,427798,4581738
128,427995,4582635
129,428885,4583362
130,428761,4583280
131,428640,4583169
132,428502,4583079
133,428963,4583542
134,430376,4581212
135,429851,4583165
136,429864,4583159
137,429167,4583530
138,429439,4583381
139,429506,4583371
140,428359,4582932
141,430509,4581210
142,428369,4583032
143,428559,4583149
144,432379,4581438
145,429229,4581012
146,431988,4581056
147,432258,4581318
148,432522,4581448
149,432783,4581565
18703,432649,4581714
18707,432532,4581797
18712,432630,4581767
18716,432542,4581651
18719,432583,4581687
18721,432570,4581663
18724,432590,4581674
18726,432617,4581697
18728,432634,4581710
18730,432583,4581759
18732,432567,4581777
18734,432703,4581727
18738,432491,4581661
18740,432493,4581793
18743,432428,4581701
18745,432653,4581629
18752,432663,4581659
19065,429844,4583038
19067,429848,4583054
19069,429868,4583056
19072,429868,4583076
19076,429977,4583024
19080,430512,4582756
19085,430510,4582709
19090,428365,4581706
19097,428499,4581753
19104,428632,4581704
19111,428767,4581752
19118,428902,4581705
19125,429035,4581706
19132,429170,4581753
19139,431811,4582686
19191,432531,4582681
19201,432524,4582818
19247,432128,4582078
19252,432256,4582106
19255,432523,4582145
19312,432520,4581825
19315,432388,4581811
19318,432253,4581880
19321,432251,4581839
19324,432127,4581943
19329,432124,4581907
19334,432383,4581779
19336,432248,4581747
19341,432249,4581709
19346,432251,4581677
19349,432127,4581626
19354,431721,4581310
19359,431995,4581309
19364,431851,4581310
19371,432391,4581544
19373,432390,4581591
19378,432259,4581455
19385,432124,4581320
19396,431584,4581315
19399,431996,4581183
19411,431871,4581051
19416,431882,4581087
19418,431844,4581094
19420,431853,4581073
19424,431828,4581068
19427,431815,4581043
19596,429304,4581706
19603,429437,4581752
19642,431839,4581015
20349,431182,4581447
20496,429126,4583355
20513,432520,4581626
20520,432432,4581789
20527,429571,4581705
20585,429166,4583342
20588,429215,4583375
20594,429101,4583387
20599,429109,4583420
20604,429179,4583453
20607,429137,4583454
20612,430377,4582823
20620,430359,4582789
20633,430336,4582833
20640,430316,4582806
20642,432005,4582010
20648,431847,4581702
20652,431150,4581762
20658,431146,4581707
20663,430646,4581702
20752,428366,4582852
20813,429708,4581750
20820,429707,4581706
20826,429835,4581743
20829,429977,4581705
20836,430179,4581746
20842,430337,4581750
20848,430150,4581732
20856,430181,4581713
20862,430305,4581749
20869,430301,4581709
20876,430343,4581711
20887,430320,4582216
20889,430347,4582097
20891,430352,4582146
20896,430334,4582146
20901,430316,4582147
20907,430358,4582281
20912,430340,4582281
